f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R1270,R600a,R1270/R600a,0.7,50,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=97.0 °C ≥ T_crit=91.1 °C,
R1270,R600a,R1270/R600a,0.7,60,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=100.0 °C ≥ T_crit=91.1 °C,
R290,R600,R290/R600,0.3,20,110.0,V_ONLY,OK,"V_c1, V_c2",,,1.92,0.474,1000.0,1614.6,5.0,57.7,73.7,45.7,115.7,115.7,5.51,20.19,4.43,20.48,634.0,1494.1,159.66,334.75,520.71,R290,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.3,30,110.0,V_ONLY,OK,"V_c1, V_c2",,,2.091,0.463,1000.0,1614.6,14.4,64.6,79.1,52.9,115.7,115.7,7.2,23.25,5.35,20.48,551.8,1238.1,161.58,292.59,478.35,R290,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.3,40,110.0,V_ONLY,OK,"V_c1, V_c2",,,2.285,0.449,1000.0,1614.6,23.9,71.5,85.0,60.0,115.7,116.0,9.25,26.66,6.39,20.48,486.7,1032.0,163.07,252.35,437.56,R290,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.3,50,110.0,V_ONLY,OK,"V_c1, V_c2",,,2.508,0.429,1000.0,1614.6,33.3,78.5,91.3,67.1,115.7,116.5,11.7,30.44,7.57,20.48,435.2,864.6,164.49,214.03,398.72,R290,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.3,60,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.759,0.402,1000.0,1614.6,42.8,85.4,98.0,74.2,115.7,117.1,14.61,34.63,8.91,20.48,395.2,727.6,166.4,177.61,362.4,R290,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.4,20,110.0,V_ONLY,OK,"V_c1, V_c2",,,1.943,0.479,1000.0,1614.6,4.9,66.6,83.7,55.0,115.7,115.7,5.49,24.19,5.63,20.48,726.5,1174.7,207.68,280.9,514.57,R290,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.4,30,110.0,V_ONLY,OK,"V_c1, V_c2",,,2.098,0.465,1000.0,1614.6,14.4,72.5,88.1,61.1,115.7,116.0,7.19,27.18,6.55,20.48,622.9,1005.9,205.71,246.76,476.56,R290,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.4,40,110.0,V_ONLY,OK,"V_c1, V_c2",,,2.274,0.446,1000.0,1614.6,23.9,78.5,93.0,67.1,115.7,116.5,9.26,30.44,7.57,20.48,542.5,864.6,203.38,214.03,439.67,R290,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.4,50,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.474,0.423,1000.0,1614.6,33.4,84.4,98.2,73.2,115.7,117.0,11.73,34.0,8.71,20.48,479.9,745.6,201.08,182.7,404.26,R290,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R290,R600,R290/R600,0.4,60,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.696,0.392,1000.0,1614.6,43.0,90.4,103.8,79.3,115.7,117.6,14.66,37.89,9.97,20.48,431.6,644.8,199.37,152.74,370.92,R290,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
