f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R717,R600,0.4,30,110.0,,R717-HP,R600,1114.82,0.5,1800.0,435.5,1098.1,203.67,267.38,495.84,1.0,2.248,0.5,7.22,34.67,166.1,6.7,20.23,115.5,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600,0.4,40,110.0,,R717-HP,R600,1114.82,0.5,1800.0,356.9,946.5,197.21,231.58,451.35,1.0,2.47,0.487,9.74,39.64,160.5,7.72,20.23,115.9,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600,0.4,50,110.0,,R717-HP,R600,1114.82,0.5,1800.0,296.6,818.1,189.98,197.21,407.57,1.0,2.735,0.47,12.89,45.13,156.3,8.86,20.23,116.5,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600,0.4,60,110.0,,R717-HP,R600,1114.82,0.5,1800.0,249.7,708.9,182.08,164.28,364.59,1.0,3.058,0.448,16.77,51.16,153.2,10.12,20.23,117.0,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R717,R600,0.5,20,110.0,,R717-HP,R600,1114.82,0.5,1800.0,578.1,1019.1,255.93,249.3,531.82,1.0,2.096,0.519,5.21,37.1,196.4,7.2,20.23,115.7,True,True,False,True,False,False,False,"T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.5,30,110.0,,R717-HP,R600,1114.82,0.5,1800.0,461.9,901.3,244.95,219.96,489.38,1.0,2.278,0.506,7.19,41.41,185.8,8.09,20.23,116.1,True,True,False,True,False,False,False,"T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.5,40,110.0,,R717-HP,R600,1114.82,0.5,1800.0,375.2,798.7,233.23,191.62,447.22,1.0,2.493,0.491,9.72,46.1,177.0,9.06,20.23,116.6,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R717,R600,0.5,50,110.0,,R717-HP,R600,1114.82,0.5,1800.0,309.4,708.9,220.85,164.28,405.41,1.0,2.75,0.472,12.88,51.16,169.9,10.12,20.23,117.0,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R717,R600,0.5,60,110.0,,R717-HP,R600,1114.82,0.5,1800.0,258.5,630.3,207.89,137.93,364.02,1.0,3.063,0.449,16.76,56.64,164.2,11.26,20.23,117.5,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R717,R600,0.6,20,110.0,,R717-HP,R600,1114.82,0.5,1800.0,613.9,818.1,305.34,197.21,529.0,1.0,2.107,0.522,5.2,45.13,218.8,8.86,20.23,116.5,True,True,False,True,False,False,False,"T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.6,30,110.0,,R717-HP,R600,1114.82,0.5,1800.0,486.9,743.4,288.54,175.1,488.05,1.0,2.284,0.508,7.19,49.09,205.0,9.68,20.23,116.8,True,True,False,True,False,False,False,"T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.6,40,110.0,,R717-HP,R600,1114.82,0.5,1800.0,392.8,676.2,271.17,153.62,447.15,1.0,2.493,0.491,9.72,53.3,193.3,10.56,20.23,117.2,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.6,50,110.0,,R717-HP,R600,1114.82,0.5,1800.0,321.8,615.7,253.26,132.78,406.36,1.0,2.743,0.471,12.88,57.79,183.4,11.5,20.23,117.6,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.6,60,110.0,,R717-HP,R600,1114.82,0.5,1800.0,267.3,561.1,234.86,112.57,365.72,1.0,3.048,0.446,16.77,62.55,175.0,12.49,20.23,118.0,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R717,R600,0.7,20,110.0,,R717-HP,R600,1114.82,0.5,1800.0,647.2,660.5,357.39,148.35,532.36,1.0,2.094,0.518,5.21,54.4,240.6,10.79,20.23,117.3,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.7,30,110.0,,R717-HP,R600,1114.82,0.5,1800.0,510.5,615.7,334.45,132.78,491.82,1.0,2.267,0.504,7.2,57.79,223.7,11.5,20.23,117.6,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.7,40,110.0,,R717-HP,R600,1114.82,0.5,1800.0,409.7,574.2,311.07,117.56,451.19,1.0,2.471,0.487,9.74,61.33,209.2,12.24,20.23,117.9,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.7,50,110.0,,R717-HP,R600,1114.82,0.5,1800.0,333.9,535.8,287.27,102.7,410.5,1.0,2.716,0.466,12.91,65.04,196.6,13.01,20.23,118.1,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
R717,R600,0.7,60,110.0,,R717-HP,R600,1114.82,0.5,1800.0,275.9,500.1,263.09,88.19,369.77,1.0,3.015,0.441,16.8,68.92,185.7,13.82,20.23,118.4,False,True,False,True,False,False,False,"p_c1, T_c1, V_c1, V_c2",ok,HARD
