f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R290,R600,R290/R600,0.5,50.0,110.0,2.438,0.416,V_OUT,7500,110.143,20.653
R290,R600a,R290/R600a,0.3,20.0,110.0,1.838,0.452,V_OUT,5000,157.83,38.447
R290,R600a,R290/R600a,0.3,20.0,110.0,1.838,0.452,V_OUT,5500,154.123,34.952
R290,R600a,R290/R600a,0.3,20.0,110.0,1.838,0.452,V_OUT,6000,151.033,32.039
R290,R600a,R290/R600a,0.3,20.0,110.0,1.838,0.452,V_OUT,6500,148.419,29.574
R290,R600a,R290/R600a,0.3,20.0,110.0,1.838,0.452,V_OUT,7000,146.178,27.462
R290,R600a,R290/R600a,0.3,20.0,110.0,1.838,0.452,V_OUT,7500,144.236,25.631
R290,R600a,R290/R600a,0.3,30.0,110.0,2.009,0.444,V_OUT,5000,145.11,35.853
R290,R600a,R290/R600a,0.3,30.0,110.0,2.009,0.444,V_OUT,5500,141.653,32.594
R290,R600a,R290/R600a,0.3,30.0,110.0,2.009,0.444,V_OUT,6000,138.772,29.878
R290,R600a,R290/R600a,0.3,30.0,110.0,2.009,0.444,V_OUT,6500,136.334,27.579
R290,R600a,R290/R600a,0.3,30.0,110.0,2.009,0.444,V_OUT,7000,134.244,25.609
R290,R600a,R290/R600a,0.3,30.0,110.0,2.009,0.444,V_OUT,7500,132.433,23.902
R290,R600a,R290/R600a,0.3,40.0,110.0,2.207,0.432,V_OUT,5000,133.385,33.857
R290,R600a,R290/R600a,0.3,40.0,110.0,2.207,0.432,V_OUT,5500,130.12,30.779
R290,R600a,R290/R600a,0.3,40.0,110.0,2.207,0.432,V_OUT,6000,127.4,28.214
R290,R600a,R290/R600a,0.3,40.0,110.0,2.207,0.432,V_OUT,6500,125.098,26.044
R290,R600a,R290/R600a,0.3,40.0,110.0,2.207,0.432,V_OUT,7000,123.124,24.183
R290,R600a,R290/R600a,0.3,40.0,110.0,2.207,0.432,V_OUT,7500,121.414,22.571
R290,R600a,R290/R600a,0.3,50.0,110.0,2.435,0.416,V_OUT,5000,122.597,32.307
R290,R600a,R290/R600a,0.3,50.0,110.0,2.435,0.416,V_OUT,5500,119.482,29.37
R290,R600a,R290/R600a,0.3,50.0,110.0,2.435,0.416,V_OUT,6000,116.885,26.922
R290,R600a,R290/R600a,0.3,50.0,110.0,2.435,0.416,V_OUT,6500,114.689,24.851
R290,R600a,R290/R600a,0.3,50.0,110.0,2.435,0.416,V_OUT,7000,112.806,23.076
R290,R600a,R290/R600a,0.3,50.0,110.0,2.435,0.416,V_OUT,7500,111.174,21.538
R290,R600a,R290/R600a,0.3,60.0,110.0,2.696,0.392,V_OUT,5000,112.829,31.149
R290,R600a,R290/R600a,0.3,60.0,110.0,2.696,0.392,V_OUT,5500,109.825,28.317
R290,R600a,R290/R600a,0.3,60.0,110.0,2.696,0.392,V_OUT,6000,107.322,25.958
R290,R600a,R290/R600a,0.3,60.0,110.0,2.696,0.392,V_OUT,6500,105.204,23.961
R290,R600a,R290/R600a,0.3,60.0,110.0,2.696,0.392,V_OUT,7000,103.388,22.249
R290,R600a,R290/R600a,0.3,60.0,110.0,2.696,0.392,V_OUT,7500,101.815,20.766
R290,R600a,R290/R600a,0.4,20.0,110.0,1.886,0.465,V_OUT,5000,152.862,36.6
R290,R600a,R290/R600a,0.4,20.0,110.0,1.886,0.465,V_OUT,5500,149.332,33.273
R290,R600a,R290/R600a,0.4,20.0,110.0,1.886,0.465,V_OUT,6000,146.391,30.5
R290,R600a,R290/R600a,0.4,20.0,110.0,1.886,0.465,V_OUT,6500,143.902,28.154
R290,R600a,R290/R600a,0.4,20.0,110.0,1.886,0.465,V_OUT,7000,141.769,26.143
R290,R600a,R290/R600a,0.4,20.0,110.0,1.886,0.465,V_OUT,7500,139.92,24.4
R290,R600a,R290/R600a,0.4,30.0,110.0,2.042,0.452,V_OUT,5000,142.013,34.601
R290,R600a,R290/R600a,0.4,30.0,110.0,2.042,0.452,V_OUT,5500,138.677,31.456
R290,R600a,R290/R600a,0.4,30.0,110.0,2.042,0.452,V_OUT,6000,135.896,28.834
R290,R600a,R290/R600a,0.4,30.0,110.0,2.042,0.452,V_OUT,6500,133.543,26.616
R290,R600a,R290/R600a,0.4,30.0,110.0,2.042,0.452,V_OUT,7000,131.527,24.715
