f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,COMP1,166872.8,149.69
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,COMP2,300018.3,269.12
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,IHX,239309.2,214.66
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,SNK_HX,186435.0,167.23
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,SRC_HX,116056.8,104.1
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,COMP1,157025.3,140.85
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,COMP2,259323.7,232.61
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,IHX,253987.8,227.83
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,SNK_HX,187638.3,168.31
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,SRC_HX,120997.3,108.53
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,COMP1,247363.7,221.89
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,COMP2,392638.9,352.2
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,IHX,200599.3,179.94
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,SNK_HX,184039.6,165.08
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,SRC_HX,103730.3,93.05
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,COMP1,220668.9,197.94
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,COMP2,342015.0,306.79
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,IHX,213199.4,191.24
