f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,170.0,116.923,20.413
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,180.0,122.527,20.413
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,190.0,128.131,20.413
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,OK,200.0,133.735,20.413
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,100.0,96.116,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,110.0,103.305,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,120.0,110.495,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,130.0,117.684,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,140.0,124.873,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,150.0,132.063,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,160.0,139.252,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,170.0,146.442,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,180.0,153.631,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,190.0,160.82,22.835
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,200.0,168.01,22.835
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,100.0,89.476,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,110.0,96.128,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,120.0,102.781,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,130.0,109.433,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,140.0,116.085,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,150.0,122.737,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,160.0,129.39,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,170.0,136.042,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,180.0,142.694,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,190.0,149.346,21.639
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,200.0,155.999,21.639
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,100.0,83.343,20.73
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,110.0,89.478,20.73
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,120.0,95.614,20.73
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,130.0,101.749,20.73
