f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600,R290/R600,0.7,20,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.953,0.443,1128.2,1800.0,5.8,86.0,105.2,76.0,105.0,107.2,5.64,35.0,9.27,16.8,1166.7,716.3,416.32,132.54,577.75,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.7,30,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.104,0.422,1128.2,1800.0,15.1,89.0,106.6,79.0,105.0,107.5,7.34,36.96,9.9,16.8,969.9,667.3,391.96,117.46,536.23,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.7,40,100.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.282,0.399,1128.2,1800.0,24.5,92.0,108.4,82.0,105.0,107.8,9.4,39.03,10.56,16.8,817.6,621.9,366.98,102.7,494.4,R290,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.7,50,100.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600,R290/R600,0.7,60,100.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600a,R290/R600a,0.3,20,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.073,0.471,1128.2,1800.0,5.3,54.0,69.4,44.0,105.0,106.2,5.56,18.67,5.89,21.78,731.8,1362.2,173.59,343.44,544.24,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.276,0.459,1128.2,1800.0,14.5,61.0,75.0,51.0,105.0,106.5,7.22,21.61,7.02,21.78,637.1,1138.5,175.19,295.67,495.65,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.515,0.442,1128.2,1800.0,23.8,68.0,81.0,58.0,105.0,107.0,9.23,24.87,8.3,21.78,561.1,955.5,176.13,250.06,448.62,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,50,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.796,0.419,1128.2,1800.0,33.1,75.0,87.3,65.0,105.0,107.5,11.64,28.49,9.74,21.78,500.2,804.9,176.74,206.64,403.56,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,60,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,3.125,0.387,1128.2,1800.0,42.5,82.0,94.0,72.0,105.0,108.0,14.5,32.51,11.36,21.78,452.1,680.2,177.55,165.43,361.04,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,20,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.101,0.478,1128.2,1800.0,5.2,62.0,78.5,52.0,105.0,106.6,5.54,22.05,7.19,21.78,821.7,1110.1,221.05,289.02,536.91,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.29,0.462,1128.2,1800.0,14.5,68.0,82.9,58.0,105.0,107.0,7.21,24.87,8.3,21.78,705.0,955.5,217.94,250.06,492.63,R290,R600a,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
