f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.45,0.43,OK,6500,109.421,22.05
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.45,0.43,OK,7000,107.613,20.475
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.45,0.43,OK,7500,106.045,19.11
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.713,0.406,OK,5000,107.303,27.319
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.713,0.406,OK,5500,104.451,24.835
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.713,0.406,OK,6000,102.074,22.766
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.713,0.406,OK,6500,100.063,21.014
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.713,0.406,OK,7000,98.339,19.513
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.713,0.406,OK,7500,96.845,18.213
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.055,0.467,OK,5000,135.688,30.879
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.055,0.467,OK,5500,132.464,28.072
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.055,0.467,OK,6000,129.777,25.733
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.055,0.467,OK,6500,127.504,23.753
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.055,0.467,OK,7000,125.555,22.057
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.055,0.467,OK,7500,123.867,20.586
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.237,0.451,OK,5000,125.754,29.297
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.237,0.451,OK,5500,122.695,26.633
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.237,0.451,OK,6000,120.146,24.414
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.237,0.451,OK,6500,117.989,22.536
