f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,120.0,100.056,19.175
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,130.0,106.81,19.175
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,140.0,113.563,19.175
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,150.0,120.316,19.175
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,160.0,127.069,19.175
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,170.0,133.822,19.175
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,180.0,140.575,19.175
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,190.0,147.328,19.175
R290,R600,R290/R600,0.4,50.0,120.0,1.85,0.4,OK,200.0,154.082,19.175
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,100.0,94.812,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,110.0,101.897,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,120.0,108.982,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,130.0,116.068,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,140.0,123.153,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,150.0,130.238,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,160.0,137.323,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,170.0,144.408,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,180.0,151.494,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,190.0,158.579,24.157
R290,R600,R290/R600,0.5,20.0,120.0,1.763,0.471,OK,200.0,165.664,24.157
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,100.0,88.98,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,110.0,95.625,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,120.0,102.271,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,130.0,108.916,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,140.0,115.562,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,150.0,122.207,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,160.0,128.853,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,170.0,135.498,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,180.0,142.144,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,190.0,148.789,22.709
R290,R600,R290/R600,0.5,30.0,120.0,1.88,0.454,OK,200.0,155.435,22.709
R290,R600,R290/R600,0.5,40.0,120.0,1.825,0.418,OK,100.0,87.777,19.486
R290,R600,R290/R600,0.5,40.0,120.0,1.825,0.418,OK,110.0,94.622,19.486
R290,R600,R290/R600,0.5,40.0,120.0,1.825,0.418,OK,120.0,101.467,19.486
R290,R600,R290/R600,0.5,40.0,120.0,1.825,0.418,OK,130.0,108.312,19.486
