f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R290,R600,R290/R600,0.5,20.0,120.0,1.788,0.474,OK,6500,124.107,27.224
R290,R600,R290/R600,0.5,20.0,120.0,1.788,0.474,OK,7000,122.179,25.279
R290,R600,R290/R600,0.5,20.0,120.0,1.788,0.474,OK,7500,120.507,23.594
R290,R600,R290/R600,0.5,30.0,120.0,1.9,0.456,OK,5000,124.526,33.415
R290,R600,R290/R600,0.5,30.0,120.0,1.9,0.456,OK,5500,121.514,30.377
R290,R600,R290/R600,0.5,30.0,120.0,1.9,0.456,OK,6000,119.003,27.846
R290,R600,R290/R600,0.5,30.0,120.0,1.9,0.456,OK,6500,116.878,25.704
R290,R600,R290/R600,0.5,30.0,120.0,1.9,0.456,OK,7000,115.057,23.868
R290,R600,R290/R600,0.5,30.0,120.0,1.9,0.456,OK,7500,113.479,22.277
R290,R600,R290/R600,0.5,40.0,120.0,2.022,0.435,OK,5000,117.56,31.963
R290,R600,R290/R600,0.5,40.0,120.0,2.022,0.435,OK,5500,114.678,29.057
R290,R600,R290/R600,0.5,40.0,120.0,2.022,0.435,OK,6000,112.276,26.636
R290,R600,R290/R600,0.5,40.0,120.0,2.022,0.435,OK,6500,110.244,24.587
R290,R600,R290/R600,0.5,40.0,120.0,2.022,0.435,OK,7000,108.502,22.831
R290,R600,R290/R600,0.5,40.0,120.0,2.022,0.435,OK,7500,106.993,21.309
R290,R600a,R290/R600a,0.3,20.0,120.0,1.577,0.415,V_OUT,5000,150.203,40.389
R290,R600a,R290/R600a,0.3,20.0,120.0,1.577,0.415,V_OUT,5500,146.562,36.717
R290,R600a,R290/R600a,0.3,20.0,120.0,1.577,0.415,V_OUT,6000,143.527,33.658
R290,R600a,R290/R600a,0.3,20.0,120.0,1.577,0.415,V_OUT,6500,140.959,31.069
R290,R600a,R290/R600a,0.3,20.0,120.0,1.577,0.415,V_OUT,7000,138.758,28.849
R290,R600a,R290/R600a,0.3,20.0,120.0,1.577,0.415,V_OUT,7500,136.85,26.926
R290,R600a,R290/R600a,0.3,30.0,120.0,1.721,0.411,OK,5000,138.382,37.767
R290,R600a,R290/R600a,0.3,30.0,120.0,1.721,0.411,OK,5500,134.977,34.334
R290,R600a,R290/R600a,0.3,30.0,120.0,1.721,0.411,OK,6000,132.139,31.472
R290,R600a,R290/R600a,0.3,30.0,120.0,1.721,0.411,OK,6500,129.738,29.051
R290,R600a,R290/R600a,0.3,30.0,120.0,1.721,0.411,OK,7000,127.679,26.976
R290,R600a,R290/R600a,0.3,30.0,120.0,1.721,0.411,OK,7500,125.896,25.178
R290,R600a,R290/R600a,0.3,40.0,120.0,1.886,0.405,OK,5000,127.221,35.422
R290,R600a,R290/R600a,0.3,40.0,120.0,1.886,0.405,OK,5500,124.027,32.201
R290,R600a,R290/R600a,0.3,40.0,120.0,1.886,0.405,OK,6000,121.366,29.518
R290,R600a,R290/R600a,0.3,40.0,120.0,1.886,0.405,OK,6500,119.114,27.247
R290,R600a,R290/R600a,0.3,40.0,120.0,1.886,0.405,OK,7000,117.183,25.301
R290,R600a,R290/R600a,0.3,40.0,120.0,1.886,0.405,OK,7500,115.51,23.614
R290,R600a,R290/R600a,0.3,50.0,120.0,2.073,0.394,OK,5000,117.121,33.648
R290,R600a,R290/R600a,0.3,50.0,120.0,2.073,0.394,OK,5500,114.087,30.589
