f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R290,R600,R290/R600,0.3,30.0,100.0,2.387,0.48,OK,SRC_HX,117244.1,103.92
R290,R600,R290/R600,0.3,40.0,100.0,2.381,0.447,OK,COMP1,267926.2,237.48
R290,R600,R290/R600,0.3,40.0,100.0,2.381,0.447,OK,COMP2,364251.5,322.86
R290,R600,R290/R600,0.3,40.0,100.0,2.381,0.447,OK,IHX,203928.6,180.76
R290,R600,R290/R600,0.3,40.0,100.0,2.381,0.447,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,40.0,100.0,2.381,0.447,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,40.0,100.0,2.381,0.447,OK,SNK_HX,177001.5,156.89
R290,R600,R290/R600,0.3,40.0,100.0,2.381,0.447,OK,SRC_HX,90117.7,79.88
R290,R600,R290/R600,0.3,50.0,100.0,2.333,0.406,OK,COMP1,295756.4,262.15
R290,R600,R290/R600,0.3,50.0,100.0,2.333,0.406,OK,COMP2,313315.9,277.71
R290,R600,R290/R600,0.3,50.0,100.0,2.333,0.406,OK,IHX,205490.9,182.14
R290,R600,R290/R600,0.3,50.0,100.0,2.333,0.406,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,50.0,100.0,2.333,0.406,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,50.0,100.0,2.333,0.406,OK,SNK_HX,178450.3,158.17
R290,R600,R290/R600,0.3,50.0,100.0,2.333,0.406,OK,SRC_HX,74820.1,66.32
R290,R600,R290/R600,0.3,60.0,100.0,2.241,0.36,OK,COMP1,329688.8,292.23
R290,R600,R290/R600,0.3,60.0,100.0,2.241,0.36,OK,COMP2,271592.5,240.73
R290,R600,R290/R600,0.3,60.0,100.0,2.241,0.36,OK,IHX,208958.1,185.21
R290,R600,R290/R600,0.3,60.0,100.0,2.241,0.36,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,60.0,100.0,2.241,0.36,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,60.0,100.0,2.241,0.36,OK,SNK_HX,179819.7,159.39
R290,R600,R290/R600,0.3,60.0,100.0,2.241,0.36,OK,SRC_HX,64104.4,56.82
