f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.77,0.415,OK,COMP1,175130.9,155.23
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.77,0.415,OK,COMP2,281098.7,249.16
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.77,0.415,OK,IHX,225448.8,199.83
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.77,0.415,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.77,0.415,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.77,0.415,OK,SNK_HX,183584.0,162.72
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.77,0.415,OK,SRC_HX,120259.9,106.59
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.096,0.477,OK,COMP1,261277.9,231.59
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.096,0.477,OK,COMP2,372682.4,330.33
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.096,0.477,OK,IHX,188904.8,167.44
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.096,0.477,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.096,0.477,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.096,0.477,OK,SNK_HX,181201.6,160.61
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.096,0.477,OK,SRC_HX,108814.5,96.45
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.28,0.46,OK,COMP1,230700.0,204.48
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.28,0.46,OK,COMP2,326005.4,288.96
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.28,0.46,OK,IHX,201090.8,178.24
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.28,0.46,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.28,0.46,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.28,0.46,OK,SNK_HX,182324.1,161.61
