f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R290,R600,R290/R600,0.5,40.0,120.0,1.992,0.429,7500,106.239,38.468
R290,R600a,R290/R600a,0.3,30.0,120.0,1.692,0.404,5000,130.718,56.69
R290,R600a,R290/R600a,0.3,30.0,120.0,1.692,0.404,5500,128.162,51.536
R290,R600a,R290/R600a,0.3,30.0,120.0,1.692,0.404,6000,126.032,47.242
R290,R600a,R290/R600a,0.3,30.0,120.0,1.692,0.404,6500,124.23,43.608
R290,R600a,R290/R600a,0.3,30.0,120.0,1.692,0.404,7000,122.686,40.493
R290,R600a,R290/R600a,0.3,30.0,120.0,1.692,0.404,7500,121.347,37.793
R290,R600a,R290/R600a,0.3,40.0,120.0,1.855,0.398,5000,120.597,54.417
R290,R600a,R290/R600a,0.3,40.0,120.0,1.855,0.398,5500,118.144,49.47
R290,R600a,R290/R600a,0.3,40.0,120.0,1.855,0.398,6000,116.099,45.347
R290,R600a,R290/R600a,0.3,40.0,120.0,1.855,0.398,6500,114.369,41.859
R290,R600a,R290/R600a,0.3,40.0,120.0,1.855,0.398,7000,112.886,38.869
R290,R600a,R290/R600a,0.3,40.0,120.0,1.855,0.398,7500,111.601,36.278
R290,R600a,R290/R600a,0.3,50.0,120.0,2.04,0.388,5000,111.13,52.431
R290,R600a,R290/R600a,0.3,50.0,120.0,2.04,0.388,5500,108.766,47.664
R290,R600a,R290/R600a,0.3,50.0,120.0,2.04,0.388,6000,106.796,43.692
R290,R600a,R290/R600a,0.3,50.0,120.0,2.04,0.388,6500,105.13,40.331
R290,R600a,R290/R600a,0.3,50.0,120.0,2.04,0.388,7000,103.701,37.451
R290,R600a,R290/R600a,0.3,50.0,120.0,2.04,0.388,7500,102.463,34.954
R290,R600a,R290/R600a,0.3,60.0,120.0,2.246,0.372,5000,102.443,50.708
R290,R600a,R290/R600a,0.3,60.0,120.0,2.246,0.372,5500,100.157,46.098
R290,R600a,R290/R600a,0.3,60.0,120.0,2.246,0.372,6000,98.252,42.257
R290,R600a,R290/R600a,0.3,60.0,120.0,2.246,0.372,6500,96.64,39.006
R290,R600a,R290/R600a,0.3,60.0,120.0,2.246,0.372,7000,95.258,36.22
R290,R600a,R290/R600a,0.3,60.0,120.0,2.246,0.372,7500,94.061,33.806
R290,R600a,R290/R600a,0.4,20.0,120.0,1.629,0.43,5000,135.114,57.527
R290,R600a,R290/R600a,0.4,20.0,120.0,1.629,0.43,5500,132.521,52.298
R290,R600a,R290/R600a,0.4,20.0,120.0,1.629,0.43,6000,130.359,47.939
R290,R600a,R290/R600a,0.4,20.0,120.0,1.629,0.43,6500,128.53,44.252
R290,R600a,R290/R600a,0.4,20.0,120.0,1.629,0.43,7000,126.963,41.091
R290,R600a,R290/R600a,0.4,20.0,120.0,1.629,0.43,7500,125.604,38.352
R290,R600a,R290/R600a,0.4,30.0,120.0,1.757,0.42,5000,126.221,55.266
R290,R600a,R290/R600a,0.4,30.0,120.0,1.757,0.42,5500,123.73,50.242
R290,R600a,R290/R600a,0.4,30.0,120.0,1.757,0.42,6000,121.653,46.055
R290,R600a,R290/R600a,0.4,30.0,120.0,1.757,0.42,6500,119.896,42.512
R290,R600a,R290/R600a,0.4,30.0,120.0,1.757,0.42,7000,118.39,39.476
R290,R600a,R290/R600a,0.4,30.0,120.0,1.757,0.42,7500,117.085,36.844
R290,R600a,R290/R600a,0.4,40.0,120.0,1.901,0.408,5000,117.763,53.297
R290,R600a,R290/R600a,0.4,40.0,120.0,1.901,0.408,5500,115.36,48.452
R290,R600a,R290/R600a,0.4,40.0,120.0,1.901,0.408,6000,113.358,44.414
R290,R600a,R290/R600a,0.4,40.0,120.0,1.901,0.408,6500,111.664,40.998
R290,R600a,R290/R600a,0.4,40.0,120.0,1.901,0.408,7000,110.212,38.069
R290,R600a,R290/R600a,0.4,40.0,120.0,1.901,0.408,7500,108.953,35.531
R290,R600a,R290/R600a,0.4,50.0,120.0,2.061,0.392,5000,109.828,51.584
R290,R600a,R290/R600a,0.4,50.0,120.0,2.061,0.392,5500,107.502,46.894
R290,R600a,R290/R600a,0.4,50.0,120.0,2.061,0.392,6000,105.564,42.986
R290,R600a,R290/R600a,0.4,50.0,120.0,2.061,0.392,6500,103.925,39.68
R290,R600a,R290/R600a,0.4,50.0,120.0,2.061,0.392,7000,102.519,36.845
R290,R600a,R290/R600a,0.4,50.0,120.0,2.061,0.392,7500,101.301,34.389
R290,R600a,R290/R600a,0.5,20.0,120.0,1.658,0.437,5000,132.711,56.41
R290,R600a,R290/R600a,0.5,20.0,120.0,1.658,0.437,5500,130.168,51.282
R290,R600a,R290/R600a,0.5,20.0,120.0,1.658,0.437,6000,128.049,47.009
R290,R600a,R290/R600a,0.5,20.0,120.0,1.658,0.437,6500,126.255,43.393
R290,R600a,R290/R600a,0.5,20.0,120.0,1.658,0.437,7000,124.718,40.293
R290,R600a,R290/R600a,0.5,20.0,120.0,1.658,0.437,7500,123.386,37.607
R290,R600a,R290/R600a,0.5,30.0,120.0,1.768,0.423,5000,125.139,54.329
R290,R600a,R290/R600a,0.5,30.0,120.0,1.768,0.423,5500,122.69,49.39
R290,R600a,R290/R600a,0.5,30.0,120.0,1.768,0.423,6000,120.649,45.274
R290,R600a,R290/R600a,0.5,30.0,120.0,1.768,0.423,6500,118.921,41.791
R290,R600a,R290/R600a,0.5,30.0,120.0,1.768,0.423,7000,117.441,38.806
R290,R600a,R290/R600a,0.5,30.0,120.0,1.768,0.423,7500,116.158,36.219
R290,R600a,R290/R600a,0.5,40.0,120.0,1.89,0.406,5000,117.938,52.548
R290,R600a,R290/R600a,0.5,40.0,120.0,1.89,0.406,5500,115.569,47.771
R290,R600a,R290/R600a,0.5,40.0,120.0,1.89,0.406,6000,113.595,43.79
R290,R600a,R290/R600a,0.5,40.0,120.0,1.89,0.406,6500,111.925,40.421
R290,R600a,R290/R600a,0.5,40.0,120.0,1.89,0.406,7000,110.493,37.534
R290,R600a,R290/R600a,0.5,40.0,120.0,1.89,0.406,7500,109.252,35.032
R717,R600,R717/R600,0.3,30.0,120.0,1.934,0.465,5000,119.604,60.134
R717,R600,R717/R600,0.3,30.0,120.0,1.934,0.465,5500,116.893,54.668
R717,R600,R717/R600,0.3,30.0,120.0,1.934,0.465,6000,114.634,50.112
R717,R600,R717/R600,0.3,30.0,120.0,1.934,0.465,6500,112.722,46.257
R717,R600,R717/R600,0.3,30.0,120.0,1.934,0.465,7000,111.083,42.953
R717,R600,R717/R600,0.3,30.0,120.0,1.934,0.465,7500,109.663,40.09
R717,R600,R717/R600,0.3,40.0,120.0,2.126,0.459,5000,109.838,56.769
R717,R600,R717/R600,0.3,40.0,120.0,2.126,0.459,5500,107.278,51.608
R717,R600,R717/R600,0.3,40.0,120.0,2.126,0.459,6000,105.146,47.307
R717,R600,R717/R600,0.3,40.0,120.0,2.126,0.459,6500,103.341,43.668
R717,R600,R717/R600,0.3,40.0,120.0,2.126,0.459,7000,101.794,40.549
R717,R600,R717/R600,0.3,40.0,120.0,2.126,0.459,7500,100.453,37.846
R717,R600,R717/R600,0.3,50.0,120.0,2.352,0.45,5000,100.546,53.875
R717,R600,R717/R600,0.3,50.0,120.0,2.352,0.45,5500,98.117,48.977
R717,R600,R717/R600,0.3,50.0,120.0,2.352,0.45,6000,96.093,44.896
R717,R600,R717/R600,0.3,50.0,120.0,2.352,0.45,6500,94.38,41.442
R717,R600,R717/R600,0.3,50.0,120.0,2.352,0.45,7000,92.912,38.482
R717,R600,R717/R600,0.3,50.0,120.0,2.352,0.45,7500,91.64,35.917
R717,R600,R717/R600,0.3,60.0,120.0,2.622,0.437,5000,91.721,51.393
R717,R600,R717/R600,0.3,60.0,120.0,2.622,0.437,5500,89.404,46.721
R717,R600,R717/R600,0.3,60.0,120.0,2.622,0.437,6000,87.473,42.827
R717,R600,R717/R600,0.3,60.0,120.0,2.622,0.437,6500,85.84,39.533
R717,R600,R717/R600,0.3,60.0,120.0,2.622,0.437,7000,84.439,36.709
R717,R600,R717/R600,0.3,60.0,120.0,2.622,0.437,7500,83.225,34.262
R717,R600,R717/R600,0.4,20.0,120.0,1.848,0.49,5000,124.031,60.612
R717,R600,R717/R600,0.4,20.0,120.0,1.848,0.49,5500,121.298,55.102
R717,R600,R717/R600,0.4,20.0,120.0,1.848,0.49,6000,119.021,50.51
R717,R600,R717/R600,0.4,20.0,120.0,1.848,0.49,6500,117.094,46.625
R717,R600,R717/R600,0.4,20.0,120.0,1.848,0.49,7000,115.443,43.295
R717,R600,R717/R600,0.4,20.0,120.0,1.848,0.49,7500,114.011,40.408
R717,R600,R717/R600,0.4,30.0,120.0,2.006,0.483,5000,114.978,57.329
R717,R600,R717/R600,0.4,30.0,120.0,2.006,0.483,5500,112.394,52.117
R717,R600,R717/R600,0.4,30.0,120.0,2.006,0.483,6000,110.24,47.774
