f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],binding,scale_k,m_steam [kg/s],m_steam [kg/h],Q_H [kW],W_el [kW],COP,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status
R717,R600,0.3,20,100,,R717-LP,R600,94.7,280.0,C2,0.0847,0.0847,304.8,191.1,88.84,2.151,4.98,22.82,147.0,4.08,17.05,105.8,True,True,True,True,True,True,True,,ok
R717,R600,0.3,20,110,,R717-LP,R600,86.5,280.0,C2,0.084,0.084,302.6,187.4,96.14,1.949,4.98,24.58,154.8,4.43,20.48,115.7,True,True,True,True,True,True,True,,ok
R717,R600,0.3,20,120,,R717-LP,R600,75.0,280.0,C2,0.0814,0.0814,292.9,179.1,102.17,1.753,4.98,26.44,162.5,4.81,24.42,125.6,True,True,True,True,True,True,True,,ok
R717,R600,0.3,30,100,,R717-LP,R600,90.2,280.0,C2,0.1024,0.1024,368.6,231.0,96.65,2.39,7.11,27.09,141.0,4.94,17.05,105.9,True,True,True,True,True,True,True,,ok
R717,R600,0.4,20,100,,R717-LP,R600,124.5,280.0,C2,0.1051,0.1051,378.5,237.2,107.82,2.2,4.98,27.74,167.7,5.07,17.05,106.0,True,True,True,True,True,True,True,,ok
R717,R600,0.4,20,110,,R717-HP,R600,118.7,280.0,C2,0.1069,0.1069,384.9,238.4,118.47,2.012,4.98,30.48,177.9,5.63,20.48,115.7,True,True,True,True,True,True,True,,ok
R717,R600,0.4,30,100,,R717-HP,R600,113.8,280.0,C2,0.123,0.123,442.8,277.6,114.02,2.434,7.11,31.93,158.3,5.93,17.05,106.4,True,True,True,True,True,True,True,,ok
R717,R600,0.4,30,110,,R717-HP,R600,108.9,280.0,C2,0.1248,0.1248,449.4,278.3,126.06,2.208,7.11,34.97,168.1,6.55,20.48,116.0,True,True,True,True,True,True,True,,ok
R717,R600,0.4,30,120,,R717-HP,R600,100.3,280.0,C2,0.1237,0.1237,445.2,272.3,136.36,1.997,7.11,38.23,177.8,7.22,24.42,126.2,True,True,True,True,True,True,True,,ok
R717,R600,0.4,40,100,,R717-HP,R600,105.8,280.0,C2,0.1433,0.1433,516.0,323.4,118.98,2.718,9.85,36.57,151.1,6.88,17.05,106.8,True,True,True,True,True,True,True,,ok
R717,R600,0.4,40,110,,R717-HP,R600,101.8,280.0,C2,0.1452,0.1452,522.9,323.8,132.62,2.442,9.85,39.94,160.5,7.57,20.48,116.5,True,True,True,True,True,True,True,,ok
R717,R600,0.4,40,120,,R717-HP,R600,94.4,280.0,C2,0.1437,0.1437,517.5,316.5,144.44,2.191,9.85,43.54,169.9,8.32,24.42,126.7,True,True,True,True,True,True,True,,ok
R717,R600,0.4,50,100,,R717-HP,R600,99.8,280.0,C2,0.1664,0.1664,599.1,375.5,122.33,3.069,13.32,41.71,145.8,7.94,17.05,107.3,True,True,True,True,True,True,True,,ok
R717,R600,0.4,50,110,,R717-HP,R600,96.5,280.0,C2,0.1684,0.1684,606.4,375.5,137.8,2.725,13.32,45.42,154.8,8.71,20.48,117.0,True,True,True,True,True,True,True,,ok
R717,R600,0.4,50,120,,R717-HP,R600,90.2,280.0,C2,0.1666,0.1666,599.7,366.8,151.4,2.423,13.32,49.38,163.8,9.53,24.42,127.2,True,True,True,True,True,True,True,,ok
R717,R600,0.5,30,100,,R717-HP,R600,142.2,280.0,C2,0.147,0.147,529.1,331.6,134.9,2.458,7.11,37.39,175.4,7.05,17.05,106.9,True,True,True,True,True,True,True,,ok
R717,R600,0.5,40,100,,R717-HP,R600,127.6,280.0,C2,0.1664,0.1664,599.1,375.5,137.23,2.736,9.85,41.71,165.2,7.94,17.05,107.3,True,True,True,True,True,True,True,,ok
R717,R600,0.5,40,110,,R717-HP,R600,127.1,280.0,C2,0.1726,0.1726,621.3,384.8,155.76,2.471,9.85,46.39,176.8,8.91,20.48,117.1,True,True,True,True,True,True,True,,ok
R717,R600,0.5,50,100,,R717-HP,R600,116.4,280.0,C2,0.188,0.188,676.8,424.2,137.73,3.08,13.32,46.39,157.1,8.91,17.05,107.8,True,True,True,True,True,True,True,,ok
R717,R600,0.5,50,110,,R717-HP,R600,116.3,280.0,C2,0.1948,0.1948,701.1,434.2,158.11,2.746,13.32,51.46,168.3,9.97,20.48,117.6,True,True,True,True,True,True,True,,ok
R717,R600,0.6,40,100,,R717-HP,R600,153.1,280.0,C2,0.1926,0.1926,693.3,434.5,158.93,2.734,9.85,47.37,179.2,9.12,17.05,107.9,True,True,True,True,True,True,True,,ok
R717,R600,0.6,50,100,,R717-HP,R600,135.3,280.0,C2,0.212,0.212,763.0,478.2,155.67,3.072,13.32,51.46,168.3,9.97,17.05,108.3,True,True,True,True,True,True,True,,ok
