f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],binding,scale_k,m_steam [kg/s],m_steam [kg/h],Q_H [kW],W_el [kW],COP,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status
R290,R600,0.4,50,110,,R290,R600,176.3,280.0,C2,0.1684,0.1684,606.4,375.5,150.03,2.503,12.0,34.0,98.1,8.71,20.48,117.0,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.4,50,120,,R290,R600,171.9,280.0,C2,0.1666,0.1666,599.7,366.8,166.12,2.208,12.0,36.56,102.7,9.53,24.42,127.2,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.5,20,100,,R290,R600,248.9,280.0,C2,0.1295,0.1295,466.2,292.2,139.7,2.092,5.34,26.15,88.4,6.23,17.05,106.5,True,True,True,True,True,True,True,,ok
R290,R600,0.5,20,110,,R290,R600,256.0,280.0,C2,0.1347,0.1347,485.0,300.4,157.64,1.905,5.34,28.78,93.9,7.05,20.48,116.3,True,True,True,True,True,True,True,,ok
R290,R600,0.5,20,120,,R290,R600,255.1,280.0,C2,0.1368,0.1368,492.3,301.2,173.71,1.734,5.34,31.59,99.4,7.94,24.42,126.5,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.5,30,100,,R290,R600,233.3,280.0,C2,0.147,0.147,529.1,331.6,145.52,2.279,7.14,28.78,91.5,7.05,17.05,106.9,True,True,True,True,True,True,True,,ok
R290,R600,0.5,30,110,,R290,R600,241.8,280.0,C2,0.1526,0.1526,549.5,340.4,165.74,2.054,7.14,31.59,97.1,7.94,20.48,116.7,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.5,30,120,,R290,R600,243.6,280.0,C2,0.1548,0.1548,557.3,340.9,184.32,1.849,7.14,34.63,102.7,8.91,24.42,126.9,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.5,40,100,,R290,R600,222.3,280.0,C2,0.1664,0.1664,599.1,375.5,150.18,2.5,9.35,31.59,95.2,7.94,17.05,107.3,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.5,40,110,,R290,R600,232.4,280.0,C2,0.1726,0.1726,621.3,384.8,173.09,2.223,9.35,34.63,100.9,8.91,20.48,117.1,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.5,40,120,,R290,R600,237.0,280.0,C2,0.1749,0.1749,629.6,385.1,194.75,1.977,9.35,37.89,106.6,9.97,24.42,127.4,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.5,50,100,,R290,R600,214.9,280.0,C2,0.188,0.188,676.8,424.2,153.45,2.764,12.0,34.63,99.2,8.91,17.05,107.8,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.5,50,110,,R290,R600,227.0,280.0,C2,0.1948,0.1948,701.1,434.2,179.64,2.417,12.0,37.89,105.0,9.97,20.48,117.6,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.5,50,120,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600,0.6,20,100,,R290,R600,280.0,230.2,C1,0.1302,0.1302,468.8,293.8,145.47,2.02,5.34,30.44,97.2,7.57,17.05,107.2,True,True,True,True,True,True,True,,ok
R290,R600,0.6,20,110,,R290,R600,280.0,212.6,C1,0.1279,0.1279,460.4,285.1,156.27,1.825,5.34,34.0,103.9,8.71,20.48,117.0,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.6,20,120,,R290,R600,280.0,200.8,C1,0.1254,0.1254,451.5,276.2,167.91,1.645,5.34,37.89,110.5,9.97,24.42,127.4,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.6,30,100,,R290,R600,280.0,254.7,C1,0.159,0.159,572.4,358.7,163.54,2.194,7.14,32.78,99.4,8.32,17.05,107.5,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.6,30,110,,R290,R600,280.0,233.3,C1,0.1546,0.1546,556.7,344.8,176.28,1.956,7.14,36.56,106.1,9.53,20.48,117.4,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.6,30,120,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600,0.6,40,100,,R290,R600,280.0,277.1,C1,0.1906,0.1906,686.2,430.1,179.23,2.4,9.35,35.26,102.0,9.12,17.05,107.9,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.6,40,110,,R290,R600,280.0,251.3,C1,0.1834,0.1834,660.1,408.8,194.18,2.105,9.35,39.27,108.9,10.41,20.48,117.8,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.6,40,120,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600,0.6,50,100,,R290,R600,264.0,280.0,C2,0.212,0.212,763.0,478.2,180.71,2.647,12.0,37.89,105.0,9.97,17.05,108.3,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.6,50,110,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600,0.6,50,120,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C
R290,R600,0.7,20,100,,R290,R600,280.0,167.8,C1,0.1154,0.1154,415.4,260.3,137.05,1.9,5.34,35.26,106.1,9.12,17.05,107.9,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.7,20,110,,R290,R600,280.0,146.5,C1,0.1094,0.1094,394.0,244.0,145.08,1.682,5.34,39.98,113.9,10.64,20.48,117.9,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.7,20,120,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar
R290,R600,0.7,30,100,,R290,R600,280.0,192.2,C1,0.142,0.142,511.3,320.5,155.47,2.062,7.14,37.22,107.3,9.75,17.05,108.2,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.7,30,110,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600,0.7,30,120,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=98.0 °C ≥ T_crit=96.7 °C
R290,R600,0.7,40,100,,R290,R600,280.0,216.5,C1,0.1718,0.1718,618.6,387.7,171.98,2.255,9.35,39.27,108.9,10.41,17.05,108.5,False,True,True,True,True,True,False,p_c1,ok
R290,R600,0.7,40,110,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=40.5 bar ≥ 0.95·p_crit=40.4 bar
R290,R600,0.7,40,120,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C
R290,R600,0.7,50,100,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600,0.7,50,110,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C
R290,R600,0.7,50,120,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=104.0 °C ≥ T_crit=96.7 °C
R1270,R600a,0.3,20,100,,R1270,R600a,123.6,280.0,C2,0.1004,0.1004,361.3,226.4,112.2,2.018,6.59,22.64,76.6,5.74,22.03,106.7,True,True,True,True,True,True,True,,ok
R1270,R600a,0.3,20,110,,R1270,R600a,105.5,280.0,C2,0.0948,0.0948,341.1,211.3,118.42,1.784,6.59,24.07,80.3,6.21,26.27,117.1,True,True,True,True,True,True,True,,ok
R1270,R600a,0.3,20,120,,R1270,R600a,77.6,280.0,C2,0.0839,0.0839,302.2,184.9,120.9,1.529,6.59,25.57,84.0,6.7,31.13,128.1,True,False,True,True,True,True,False,p_c2,ok
R1270,R600a,0.3,30,100,,R1270,R600a,127.4,280.0,C2,0.1205,0.1205,433.9,272.0,122.1,2.227,8.74,26.09,81.3,6.87,22.03,107.1,True,True,True,True,True,True,True,,ok
R1270,R600a,0.3,30,110,,R1270,R600a,110.8,280.0,C2,0.1137,0.1137,409.4,253.6,129.63,1.956,8.74,27.68,85.0,7.4,26.27,117.5,True,True,True,True,True,True,True,,ok
R1270,R600a,0.3,30,120,,R1270,R600a,84.7,280.0,C2,0.1008,0.1008,362.9,222.0,132.93,1.67,8.74,29.34,88.7,7.95,31.13,128.4,True,False,True,True,True,True,False,p_c2,ok
R1270,R600a,0.3,40,100,,R1270,R600a,132.8,280.0,C2,0.144,0.144,518.6,325.0,131.33,2.475,11.37,29.91,86.5,8.15,22.03,107.5,True,True,True,True,True,True,True,,ok
R1270,R600a,0.3,40,110,,R1270,R600a,117.4,280.0,C2,0.1359,0.1359,489.2,303.0,140.51,2.156,11.37,31.68,90.2,8.74,26.27,117.9,False,True,True,True,True,True,False,p_c1,ok
R1270,R600a,0.3,40,120,,R1270,R600a,92.7,280.0,C2,0.1206,0.1206,434.2,265.6,144.93,1.832,11.37,33.52,93.9,9.37,31.13,128.7,False,False,True,True,True,True,False,"p_c1, p_c2",ok
R1270,R600a,0.3,50,100,,R1270,R600a,140.1,280.0,C2,0.1714,0.1714,617.2,386.8,139.73,2.768,14.52,34.16,92.2,9.59,22.03,108.0,False,True,True,True,True,True,False,p_c1,ok
R1270,R600a,0.3,50,110,,R1270,R600a,125.8,280.0,C2,0.1618,0.1618,582.3,360.7,151.03,2.388,14.52,36.11,96.0,10.26,26.27,118.3,False,True,True,True,True,True,False,p_c1,ok
R1270,R600a,0.3,50,120,,R1270,R600a,102.3,280.0,C2,0.1437,0.1437,517.5,316.5,156.96,2.017,14.52,38.16,99.7,10.96,31.13,129.1,False,False,True,True,True,True,False,"p_c1, p_c2",ok
