f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600a,R290/R600a,0.3,40,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.886,0.405,1101.06,1800.0,26.3,74.0,87.4,64.0,125.0,128.3,9.84,27.95,9.52,30.88,442.8,1142.9,155.05,399.68,583.93,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,50,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,2.073,0.394,1101.06,1800.0,35.5,81.0,93.9,71.0,125.0,128.7,12.32,31.91,11.11,30.88,413.4,960.9,163.13,341.36,531.04,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,60,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,2.283,0.378,1101.06,1800.0,44.8,88.0,100.7,78.0,125.0,129.1,15.26,36.3,12.89,30.88,389.8,810.2,171.52,286.57,482.19,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,20,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.655,0.437,1101.06,1800.0,7.5,70.0,86.8,60.0,125.0,128.0,5.93,25.87,8.69,30.88,647.6,1263.7,197.5,434.6,665.37,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.784,0.427,1101.06,1800.0,16.8,76.0,91.5,66.0,125.0,128.4,7.68,29.04,9.96,30.88,580.0,1087.3,203.51,382.66,617.02,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,40,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.93,0.415,1101.06,1800.0,26.1,82.0,96.6,72.0,125.0,128.7,9.78,32.51,11.36,30.88,524.6,937.6,208.56,333.32,570.4,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,50,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,2.092,0.398,1101.06,1800.0,35.4,88.0,102.1,78.0,125.0,129.1,12.3,36.3,12.89,30.88,480.1,810.2,213.35,286.57,526.23,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600a,R290/R600a,0.5,20,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.682,0.444,1101.06,1800.0,7.3,80.0,98.1,70.0,125.0,128.6,5.9,31.32,10.88,30.88,796.4,984.8,272.39,349.47,654.59,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,30,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.793,0.429,1101.06,1800.0,16.7,85.0,101.8,75.0,125.0,128.9,7.67,34.36,12.11,30.88,697.7,871.4,273.65,309.62,613.97,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
